count,invoiceNo,status,invoiceDate,cancelDate,customer,billTo,shipTo,shipToStore,dc,subtotal,misc,discount,freight,total,paidAmt,payDiscount,payWriteOff,cmPaidAmt,cmPayDiscount,cmPayWriteOff,term,shipVia,factor,division,bol,paymentNo,customerPoNo,taxRate1,taxRate2,paymentCode,lastPmtDate,soType,voidReason,style,color,imageURL,warehouse,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15,totalUnit,price,extPrice,taxRate,soNo,sosNo,memo,salesRep1,salesRep2,comRate1,comRate2,sodTotalUnit,sodCancelDate,orderNo,userTime,printCount,houseMemo,createUser,createTime,cmNo,account,memoCode,voidDate,dept,user1,user2,user3,user4,userfDate,boxCount,weight,citAppCode,taxCode1,tax1,taxCode2,tax2,salesRep3,comRate3,salesRep4,comRate4,salesRep5,comRate5,factorBatchNo,rgNote,ediSend,ediSentDate,factorEdi,factorEdiDate,citRef,shipDate,trackingNo,qbBatchNo,qbBatchDate,sacPercent,termPaymentDisc,tax,orderDecision,ediFileName,stoPoNo,stoPiNo,pickNo,invdMemo,sodPrice,sodExtPrice,sodStatus,pickOpen,pickClosed,sosOpen,sosClosed,invoice,balance,line,bundle,pcsPerBundle,bundlePerBox,pcsPerBox,numbox,bun1,bun2,bun3,bun4,bun5,bun6,bun7,bun8,bun9,bun10,bun11,bun12,bun13,bun14,bun15,ratioId,footer1,footer2,footer3,footer4,footer5,footer6,footer7,footer8,fabricType,fabDiscript,fabContent,descript,hsTariffNo,sizeWholeComp,termName,shipviaName,paycodeName,citRefNo,payCreditApplied,scanPackhNumBox,store,storeName,email,noneInventory,discountRate,stylePrice,currencyRate,soldInvoiceNo,userName,lastPrintDate,custName,sz1,sz2,sz3,sz4,sz5,sz6,sz7,sz8,sz9,sz10,sz11,sz12,sz13,sz14,sz15,shipmentDate,orderDate,type,reference,dt,cmBal,writeOffAmt,barcode,chk,payAmt,applyAmt,pnRef,coo,ciMemo,sAdd1,sAdd2,sCity,sState,sZip,sName,sCountry,sPhone1,sFax1,commPaid,comPaid,comm1paid,comm2paid,customerName,soCancelDate,price1,price2,price3,qbCmBatchNo,resultMessage,newSoStyleColors,numBundle,cardNum,binLocation,id,cfederalId,cAdd1,cAdd2,cCity,cState,cZip,cName,cCountry,cPhone1,cFax1,dAdd1,dAdd2,dCity,dState,dZip,dName,dCountry,dPhone1,dFax1,invoiceBySo,void,color_price
0,342,Closed,4/2/2026 0:00,5/17/2026 0:00,LULUS,,LULUS,Y,                    ,9329,0,0,0,9329,9329,0,0,,,,NET45,CITY BUSINESS,                    ,FREESIA,,,220593,,,ACH,7/1/2026 0:00,PRIVATE LABEL,                    ,,,,STANFORD,,,,,,,,,,,,,,,,491,,,,,,,                    ,                    ,0,0,,,150,7/1/2026 21:14,3,,mike,7/1/2026 21:10,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDERS@LULUS.COM,,,,,,mike,7/1/2026 21:14,LULU'S FASHION LOUNGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,341,Open,4/9/2026 0:00,5/24/2026 0:00,LULUS,,LULUS,Y,                    ,9375,0,0,0,9375,8900,0,0,,,,NET45,CITY BUSINESS,                    ,FREESIA,,,221132,,,ACH,7/1/2026 0:00,PRIVATE LABEL,                    ,,,,STANFORD,,,,,,,,,,,,,,,,375,,,,,,,                    ,                    ,0,0,,,159,7/1/2026 21:08,2,,mike,7/1/2026 21:03,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDERS@LULUS.COM,,,,,,mike,7/1/2026 21:08,LULU'S FASHION LOUNGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,340,Closed,4/9/2026 0:00,5/24/2026 0:00,LULUS,,LULUS,Y,                    ,9800,0,0,0,9800,9800,0,0,,,,NET45,CITY BUSINESS,                    ,FREESIA,,,221059,,,ACH,5/29/2026 0:00,PRIVATE LABEL,                    ,,,,FORERUNNER,,,,,,,,,,,,,,,,400,,,,,,,                    ,                    ,0,0,,,1704,7/1/2026 21:00,2,,mike,7/1/2026 20:58,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDERS@LULUS.COM,,,,,,mike,7/1/2026 21:00,LULU'S FASHION LOUNGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,339,Closed,7/1/2026 20:49,8/15/2026 0:00,LULUS,,LULUS,Y,                    ,7163,0,0,0,7163,7163,0,0,,,,NET45,CITY BUSINESS,                    ,FREESIA,,,221149,,,ACH,7/1/2026 0:00,PRIVATE LABEL,                    ,,,,STANFORD,,,,,,,,,,,,,,,,377,,,,,,INV-L#71401,                    ,                    ,0,0,,,160,7/1/2026 20:50,2,,mike,7/1/2026 20:49,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDERS@LULUS.COM,,,,,,mike,7/1/2026 20:50,LULU'S FASHION LOUNGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,338,Closed,4/16/2026 0:00,5/31/2026 0:00,LULUS,LULU'S BILLING,LULUS,Y,                    ,8256,0,0,0,8256,8256,0,0,,,,NET45,CITY BUSINESS,                    ,FREESIA,,,219769,,,ACH,7/1/2026 0:00,PRIVATE LABEL,                    ,,,,STANFORD,,,,,,,,,,,,,,,,344,,,,,,INV-L#71400,                    ,                    ,0,0,,,143,7/1/2026 20:47,4,,mike,7/1/2026 20:41,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDERS@LULUS.COM,,,,,,mike,7/1/2026 20:47,LULU'S FASHION LOUNGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,337,Open,6/25/2026 0:00,8/9/2026 0:00,LULUS,,LULUS,Y,                    ,5771.6,0,-115.38,0,5656.22,,,,,,,NET45,CITY BUSINESS,                    ,FREESIA,,,223571,,,ACH,,PRIVATE LABEL,                    ,,,,STANFORD,,,,,,,,,,,,,,,,307,,,,,,2% Discount,                    ,                    ,0,0,,,180,7/1/2026 20:36,2,,mike,7/1/2026 20:36,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5656.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDERS@LULUS.COM,,,,,,mike,7/1/2026 20:36,LULU'S FASHION LOUNGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,335,Open,7/1/2026 19:30,8/30/2026 19:30,ANTHROPOLOGIE,,ANTHRO WEST COAST,Y,                    ,1240,0,0,0,1240,,,,,,,NET60,UPSG,,ELEVATOR DISCO,,,6764627,,,WIRE,,MAJOR,                    ,,,,STANFORD,,,,,,,,,,,,,,,,40,,,,,205,"TICKET COLOR : BLACK STRIPE
6/15/26 MS) PLEASE FULFILL L-1 FROM PO# 676428 OVERAGE IN L.",                    ,                    ,0,0,,,23,7/1/2026 19:30,,,adrian,7/1/2026 19:30,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,1ZX016D80335045376,,,,,,,,,,322,,,,,,,,,,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adrian,,ANTHROPOLOGIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,333,Open,7/1/2026 0:00,8/30/2026 0:00,URBAN OUTFITTERS,,KANSAS,Y,                    ,896,0,0,16.28,912.28,,,,,,,NET60,UPSG,                    ,ELEVATOR DISCO,,,6778151,0,0,WIRE,,MAJOR,                    ,,,,STANFORD,,,,,,,,,,,,,,,,32,,,,,203,,                    ,                    ,0,0,,,56,7/1/2026 19:03,,,adrian,7/1/2026 19:03,0,,,,,,,,,,,,,          ,0,          ,0,,,,,,,,,,,,,,,1ZX016D80329354768,,,,,,,,,,320,,,,,,,,,,912.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adrian,,URBAN OUTFITTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,332,Open,7/1/2026 18:56,8/30/2026 18:56,ANTHROPOLOGIE,,ANTHRO KANSAS,Y,                    ,3255,0,0,0,3255,,,,,,,NET60,UPSG,,ELEVATOR DISCO,,,6764629,,,WIRE,,MAJOR,                    ,,,,STANFORD,,,,,,,,,,,,,,,,105,,,,,202,TICKET COLOR : BLACK STRIPE,                    ,                    ,0,0,,,25,7/1/2026 18:56,,,adrian,7/1/2026 18:56,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,1ZX016D80335704136,,,,,,,,,,319,,,,,,,,,,3255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adrian,,ANTHROPOLOGIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,331,Open,7/1/2026 0:00,8/30/2026 0:00,URBAN OUTFITTERS,,KANSAS,Y,                    ,960,0,0,0,960,,,,,,,NET60,UPSG,                    ,ELEVATOR DISCO,,,6778101,,,WIRE,,MAJOR,                    ,,,,STANFORD,,,,,,,,,,,,,,,,40,,,,,201,,                    ,                    ,0,0,,,52,7/1/2026 18:48,,,adrian,7/1/2026 18:48,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,1ZX016D80337614328,,,,,,,,,,318,,,,,,,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adrian,,URBAN OUTFITTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
