poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
2,4/14/2026,5/12/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/14/2026,5/12/2026,4/14/2026,ELEVATOR DISCO,                    ,0,                    ,                                                  ,                    ,0,SS26,26-May,DRESSES,Style,CD1004,PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20.1,40.2,,STANFORD,5/12/2026,,,20.1,40.2,2,0,                    ,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
3,4/14/2026,5/12/2026,STENUE,1/1/1900,Open,PO, , , ,,,,4/14/2026,5/12/2026,4/14/2026,ELEVATOR DISCO,                    ,6,ANTHROPOLOGIE,ANTHROPOLOGIE,6764604,0,SS26,26-May,DRESSES,Style,ESWD5332,PINK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0,13,28,364,,STANFORD,5/12/2026,,,0,0,0,13,NEW,XS / 2,S / 4,M / 4,L / 2,XL / 1,,,,,,,,,,
4,4/14/2026,5/12/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/14/2026,5/12/2026,4/14/2026,ELEVATOR DISCO,                    ,6,ANTHROPOLOGIE,ANTHROPOLOGIE,6764604,0,SS26,26-May,DRESSES,Style,ESWD5332PL,PINK,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,29.5,236,,STANFORD,5/12/2026,,,29.5,236,0,8,NEW,1X / 3,2X / 3,3X / 2,,,,,,,,,,,,
5,4/14/2026,5/12/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/14/2026,5/12/2026,4/14/2026,ELEVATOR DISCO,                    ,6,ANTHROPOLOGIE,ANTHROPOLOGIE,6764604,0,SS26,26-May,DRESSES,Style,ESWD5332PT,PINK,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,12,28,336,,STANFORD,5/12/2026,,,28,336,0,12,NEW,XS PT / 3,S PT / 4,M PT / 3,L PT / 2,XL PT / 0,,,,,,,,,,
6,4/14/2026,5/12/2026,STENUE,4/14/2026,Closed,PO,,,,,,,4/14/2026,5/12/2026,4/14/2026,ELEVATOR DISCO,                    ,132,LULUS,LULU'S FASHION LOUNGE,218662,0,                    ,                    ,DRESSES,Style,EDD1294WH,ROYAL BLUE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,3,78,129,117,0,18,5,0,0,0,0,0,0,0,0,350,0,0,,STANFORD,5/12/2026,,,0,0,364,-14,REORDER,XXS / 3,XS / 78,S / 129,M / 117,L / 0,XL / 18,XXL / 5,,,,,,,,
7,4/17/2026,5/15/2026,STENUE,4/17/2026,Closed,PO,,,,,,,4/17/2026,5/15/2026,4/17/2026,ELEVATOR DISCO,                    ,70,NUULY,NUULY,6786332,0,SS26,26-Jun,DRESSES,Style,CD1059,BROWN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,36,32,17,5,0,0,0,0,0,0,0,0,0,0,107,12,1284,,STANFORD,5/15/2026,,,12,1284,111,-4,NEW,XS / 17,S / 36,M / 32,L / 17,XL / 5,,,,,,,,,,
8,4/17/2026,5/15/2026,STENUE,4/17/2026,Closed,PO,,,,,,,4/17/2026,5/15/2026,4/17/2026,ELEVATOR DISCO,                    ,71,NUULY,NUULY,6786333,0,SS26,26-Jun,DRESSES,Style,CD1059,BROWN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,31,63,58,30,9,0,0,0,0,0,0,0,0,0,0,191,12,2292,,STANFORD,5/15/2026,,,12,2292,191,0,NEW,XS / 31,S / 63,M / 58,L / 30,XL / 9,,,,,,,,,,
9,4/17/2026,5/15/2026,STENUE,4/17/2026,Closed,PO,,,,,,,4/17/2026,5/15/2026,4/17/2026,ELEVATOR DISCO,                    ,79,NUULY,NUULY,6786373,0,SS26,26-May,DRESSES,Style,CD1032,BLACK WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,11,24,22,11,3,0,0,0,0,0,0,0,0,0,0,71,19,1349,,STANFORD,5/15/2026,,,19,1349,72,-1,NEW,XS / 11,S / 24,M / 22,L / 11,XL / 3,,,,,,,,,,
10,4/17/2026,5/15/2026,STENUE,4/17/2026,Closed,PO,,,,,,,4/17/2026,5/15/2026,4/17/2026,ELEVATOR DISCO,                    ,76,NUULY,NUULY,6786359,0,SS26,26-May,DRESSES,Style,CD1028,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,27,24,12,4,0,0,0,0,0,0,0,0,0,0,79,14.5,1145.5,,STANFORD,5/15/2026,,,14.5,1145.5,79,0,NEW,XS / 12,S / 27,M / 24,L / 12,XL / 4,,,,,,,,,,
11,4/17/2026,5/15/2026,STENUE,4/17/2026,Closed,PO,,,,,,,4/17/2026,5/15/2026,4/17/2026,ELEVATOR DISCO,                    ,68,NUULY,NUULY,6786298,0,SS26,26-Jun,DRESSES,Style,CD1051,BROWN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,34,70,63,33,10,0,0,0,0,0,0,0,0,0,0,210,17.9,3759,,STANFORD,5/15/2026,,,17.9,3759,211,-1,NEW,XS / 34,S / 70,M / 63,L / 33,XL / 10,,,,,,,,,,
