style,color,status,location,cost,availableDate,price1,price2,price3,price4,price5,userName,userTime,season,ohs,orders,its,pos,division,grp,lot,leadTime,vendorPartNo,shrinkWidth,shrinkHeight,width,cost1,cost2,avgCost,stdCost,vendorColor1,vendorColor2,vendorColor3,actualWidth,active,fabContent,vendDesign1,vendDesign2,vendDesign3,required,atc,uom1,subdivision,type,sizeCat,descript,category,vendor1,vendorPart1,vendor2,vendorPart2,vendor3,vendorPart3,uom2,uom3,updateUser,updateTime,impCat,memo,ldp,customer,fabricType,reserve,reOrderLevel,lstCost,currency1,currency2,currency3,asRaw,id,rawMatType,defaultBomCost,noneInventory,weight,sgtRetailPrice,originalProjection,cost3,uom,lowestNo,bomCost1,bomCost2,bomCost3,bomCost4,bomCost5,allocs,picks,ships,user1,user2,user3,user4,body,bundle,packChk,subStyle,packSizecat,subColor,processType,defBoxType,defQtyPerBox,qtyPerBag,designer,dummy1,lastSoDate,lastPoDate,lastInvoiceDate,lastReceiveDate,userDate,binLocation,binLocation2,receivedQty,subCategory,colorDesc,costSheet,reference1,reference2,totalInvQty,startSellDate,lastEta,webYn,activeYn,userDate1,userDate2,userDate3,firstEta,warehouse,coo,aaqty,otsqty,atsqty,processCutQty,user5,user6,createdDate,fob,ddp,poMemo,ciMemo,fabContentDesc,fg,hsTariffNo,totalQty,invQty,balQty,allocOpen,pickOpen,sosOpen,firstShip,lastShip,imageURL
1001,BLACK,ACTIVE,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,adrian,"2026-04-07 15:49:59",,50.00,0.00,0.00,0.00,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,test,PANTS,,,,,,,,,adrian,"2026-05-26 16:38:21",Import,,0.0000,,,,,,,,,N,550,Style,0.0000,N,0.00,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,PO,,,,,,"2026-04-13 17:27:49",,"2026-04-13 17:28:26",,,,,,,BLACK,0,,,431,"2026-04-07 15:49:52",,0,0,,,,,,,50.00,50.00,50.00,0.00,,,"2026-04-07 15:49:59",0.0000,0.0000,,,,,,,,,,,,,,
CD1001,WHITE,DROP,,0.0000,,42.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,0.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"ENCHANTED DRESS",DRESSES,,,,,,,,,mike,"2026-05-05 23:42:59",,,0.0000,,POPLIN,,,,,,,N,885,Style,0.0000,N,0.00,118.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,,,,,,,,,,,,,,,,WHITE,0,,,,,,0,0,,,,,,,0.00,0.00,0.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1002,"PINK MULTI",ACTIVE,,0.0000,,31.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,114.00,72.00,0.00,0.00,"ELEVATOR DISCO","26 JUN",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"GIA MINI DRESS",DRESSES,,,,,,,,,adrian,"2026-06-02 10:01:50",,,0.0000,,"CROCHET LACE",,,,,,,N,934,Style,0.0000,N,,78.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,,,,,,,"2026-04-21 00:00:00","2026-01-15 00:00:00",,"2026-06-25 00:00:00",,,,114,,"PINK MULTI",0,,,,,,0,0,,,,,STANFORD,,114.00,42.00,42.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1004,PINK,ACTIVE,,20.1000,,33.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,26.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"PRECIOUS MINI DRESS",DRESSES,,,,,,,,,design,"2026-05-13 16:32:36",,,0.0000,,EMBROIDERED,,,,,,,N,852,Style,0.0000,N,0.00,88.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,,,,,,,"2026-06-13 14:59:07","2026-04-20 00:00:00","2026-06-15 13:14:05","2026-05-06 00:00:00",,,,341,,PINK,0,,,315,,,0,0,,,,,,,26.00,26.00,26.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1005,PINK,ACTIVE,,0.0000,,36.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,0.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"SOFT SERENADE MIDI DRESS",DRESSES,,,,,,,,,mike,"2026-06-26 10:11:06",,,0.0000,,LACE,,,,,,,N,879,Style,0.0000,N,0.00,98.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,,,,,,,,,,,,,,,,PINK,0,,,,,,0,0,,,,,,,0.00,0.00,0.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1006,WHITE,DROP,,,,35.0000,,,,,yosup,"2026-04-09 15:40:57",SS26,0.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"MISCHEIVIOUS MINI DRESS",DRESSES,,,,,,,,,yosup,"2026-04-09 15:40:57",,,,,TENCEL,,,,,,,,886,Style,0.0000,,,98.0000,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,WHITE,0,,,,,,0,0,,,,,,,0.00,0.00,0.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1008,MINT,DROP,,0.0000,,36.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,0.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 JUN",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"MOONVEIL MOOD MINI DRESS",DRESSES,,,,,,,,,design,"2026-06-11 15:17:02",,,0.0000,,"CRINKLED CHIFFON LAC",,,,,,,N,964,Style,0.0000,N,0.00,98.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,,,,,,,,,,,,,,,,MINT,0,,,,,,0,0,,,,,,,0.00,0.00,0.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1009,CREAM,ACTIVE,,21.9000,,46.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,0.00,18.00,0.00,48.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,XS-XL,"MISS ME MIDI DRESS",DRESSES,,,,,,,,,design,"2026-06-01 16:27:13",,,0.0000,,COTTON,,,,,,,N,846,Style,0.0000,N,0.00,128.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,1-2-2-1,,,,,,,,,,,"2025-12-18 00:00:00","2026-04-30 00:00:00",,,,,,,,CREAM,0,,,,,,0,0,,,,,,,0.00,-18.00,30.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1009PL,CREAM,ACTIVE,,0.0000,,48.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,0.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,PL,"MISS ME MIDI DRESS",DRESSES,,,,,,,,,mike,"2026-05-19 16:41:25",,,0.0000,,COTTON,,,,,,,N,845,Style,0.0000,N,0.00,128.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,,,,,,,,,,,,,,,,,,,,,CREAM,0,,,,,,0,0,,,,,,,0.00,0.00,0.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
CD1009PT,CREAM,ACTIVE,,0.0000,,46.0000,0.0000,0.0000,0.0000,0.0000,yosup,"2026-04-09 15:40:57",SS26,0.00,0.00,0.00,0.00,"ELEVATOR DISCO","26 MAY",,,,,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0,0,,,Style,PT,"MISS ME MIDI DRESS",DRESSES,,,,,,,,,minji,"2026-05-11 18:00:58",,,0.0000,,COTTON,,,,,,,N,844,Style,0.0000,N,0.00,128.0000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,N,,,,,,,,,,,,"2025-12-12 00:00:00","2026-04-20 00:00:00","2026-06-24 16:32:03","2026-06-24 00:00:00",,,,60,,CREAM,0,,,60,,,0,0,,,,,,,0.00,0.00,0.00,0.00,,,"2026-04-09 15:40:57",0.0000,0.0000,,,,,,,,,,,,,,
